,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,team Goal scored,team Goal conceded,element_type_ex,season,mean assists 3,mean assists all,mean bonus 3,mean bonus all,mean bps 3,mean bps all,mean clean_sheets 3,mean clean_sheets all,mean creativity 3,mean creativity all,mean goals_conceded 3,mean goals_conceded all,mean goals_scored 3,mean goals_scored all,mean ict_index 3,mean ict_index all,mean influence 3,mean influence all,mean minutes 3,mean minutes all,mean own_goals 3,mean own_goals all,mean penalties_missed 3,mean penalties_missed all,mean penalties_saved 3,mean penalties_saved all,mean red_cards 3,mean red_cards all,mean saves 3,mean saves all,mean selected 3,mean selected all,mean threat 3,mean threat all,mean total_points 3,mean total_points all,mean transfers_in 3,mean transfers_in all,mean transfers_out 3,mean transfers_out all,mean value 3,mean value all,mean match_result 3,mean match_result all,mean team Goal scored 3,mean team Goal scored all,mean team Goal conceded 3,mean team Goal conceded all,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3,ratio_goal_scored 3,ratio_goal_scored all,opp mean team Goal scored 3,opp mean team Goal conceded 3,opp mean team Goal scored all,opp mean team Goal conceded all,opp mean match_result all
0,0.0,True,2024-09-28T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,-18907.0,74974.0,4817.0,23724.0,João Félix Sequeira,61.0,MID,Chelsea,5,3.0,Man Utd,6,8,3.0390738060781475,3,,,,,,,,,,,,,,,,,4.0,2.0,,2024-25,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,2.3666666666666667,1.975,0.0,0.0,0.0,0.25,1.4000000000000001,2.475,2.2666666666666666,10.35,29.0,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103109.66666666667,81491.5,9.666666666666666,12.75,0.6666666666666666,2.0,40006.666666666664,33001.75,25171.0,19234.25,64.66666666666667,64.75,2.3333333333333335,2.5,1.6666666666666667,2.75,0.3333333333333333,0.75,-1.0,0.8178562764256865,0.21602468994692867,3.205550741379015,2.449489742783178,8226.414623367556,3.0912061651652345,0.4714045207910317,33727.39801539527,6855.306022831269,0.4714045207910317,0.0,9.090909090909092,1.3333333333333333,1.6666666666666667,1.25,1.25,1.5
1,2.0,True,2024-09-22T15:30:00Z,69.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.4,20.1,11.0,3.8,65,-77383.0,292835.0,6351.0,83734.0,Jérémy Doku,63.0,MID,Man City,5,1.0,Bournemouth,1,12,3.8805970149253732,3,3.0,10.0,98.0,1585.0,19.0,640.2,524.2,875.0,13.0,391.0,203.9,1.0,0.0,3.0,1.9,64.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,11.666666666666666,13.75,0.0,0.25,20.933333333333334,21.525000000000002,0.6666666666666666,0.5,0.0,0.0,3.7999999999999994,4.475,8.0,9.200000000000001,45.666666666666664,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428490.3333333333,391499.5,9.0,14.0,1.3333333333333333,1.75,86666.66666666667,65000.0,89599.0,67199.25,65.0,65.0,3.0,3.0,3.0,2.75,1.0,0.75,8.73053390247253,15.312159293261754,2.920045661743437,5.805744281887264,32.31442746239244,52427.825565777144,8.831760866327848,0.9428090415820634,62382.15595469232,40134.708943755904,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
2,1.0,True,2024-09-22T15:30:00Z,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.6,62.2,8.0,9.9,55,-25412.0,551559.0,13765.0,39177.0,Manuel Akanji,55.0,DEF,Man City,5,1.0,Bournemouth,1,12,3.283582089552239,1,2.0,0.0,112.0,2512.0,23.0,298.7,536.4,137.0,8.0,560.0,97.4,11.0,1.0,2.0,5.6,50.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,9.666666666666666,14.25,0.0,0.25,15.100000000000001,11.725000000000001,1.0,0.75,0.0,0.0,3.3333333333333335,2.9499999999999997,17.333333333333332,17.049999999999997,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563175.6666666666,516745.0,0.6666666666666666,0.5,1.6666666666666667,2.75,73503.66666666667,55127.75,50918.0,38188.5,55.0,55.0,3.0,3.0,3.0,2.75,1.0,0.75,3.39934634239519,9.769680991038893,1.5412837362262524,5.648205221326701,0.0,17596.245079245997,0.9428090415820634,0.4714045207910317,23470.121436034842,20077.633542493666,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
3,0.0,True,2024-09-22T15:30:00Z,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,11.0,0.0,0.0,1.1,55,-8062.0,832093.0,28577.0,36639.0,Ederson Santana de Moraes,55.0,GKP,Man City,5,1.0,Bournemouth,1,12,3.283582089552239,0,0.0,0.0,112.0,2785.0,27.0,10.0,551.8,0.0,5.0,569.0,56.0,11.0,0.0,5.0,13.1,55.0,2.0,2.0,,2024-25,0.3333333333333333,0.25,0.3333333333333333,0.5,13.666666666666666,17.75,0.0,0.25,3.3333333333333335,2.5,1.0,0.75,0.0,0.0,2.9666666666666663,2.7249999999999996,26.266666666666666,24.6,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.5,821498.6666666666,755514.0,0.0,0.0,3.6666666666666665,4.75,66672.66666666667,50004.5,63478.333333333336,47608.75,55.0,55.0,3.0,3.0,3.0,2.75,1.0,0.75,9.463379711052259,4.714045207910316,2.6411277052720403,21.809070488114696,0.0,4024.4734921339573,0.0,2.3570226039551585,27314.49398315033,23872.858121492052,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
4,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,-3279.0,59830.0,216.0,3495.0,Stefan Ortega Moreno,53.0,GKP,Man City,5,1.0,Bournemouth,1,12,3.2238805970149254,1,0.0,0.0,22.0,632.0,7.0,0.0,171.2,0.0,2.0,114.0,17.3,1.0,0.0,0.0,2.3,36.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67091.66666666667,69744.5,0.0,0.0,0.0,0.0,434.0,325.5,9206.333333333334,6904.75,54.333333333333336,54.5,3.0,3.0,3.0,2.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,4486.274351347179,0.0,0.0,33.50621832834417,2074.8439834251526,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
5,9.0,True,2024-09-22T15:30:00Z,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,42.2,0.5,114.0,15.7,153,274627.0,7253417.0,329275.0,54648.0,Erling Haaland,154.0,FWD,Man City,5,1.0,Bournemouth,1,12,9.134328358208956,0,27.0,8.0,217.0,2553.0,25.0,367.2,1094.6,1581.0,29.0,792.0,303.3,11.0,0.0,1.0,73.6,143.0,2.0,2.0,,2024-25,0.0,0.0,3.0,2.75,77.0,65.5,0.0,0.25,5.3,4.125,1.0,0.75,2.6666666666666665,2.25,17.566666666666666,15.049999999999999,92.06666666666666,78.14999999999999,89.66666666666667,89.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6063712.333333333,5649786.0,78.0,68.0,15.666666666666666,13.5,569781.3333333334,427336.0,78488.33333333333,58866.25,151.0,150.75,3.0,3.0,3.0,2.75,1.0,0.75,14.445299120013633,4.166533331199932,1.1785113019775784,14.584314252724473,0.4714045207910317,702606.0985451869,8.524474568362947,1.8856180831641267,216872.579266157,22299.09765488779,0.816496580927726,88.88888888888889,81.81818181818183,3.0,1.6666666666666667,2.25,1.75,1.5
6,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,-1171.0,9766.0,221.0,1392.0,Oscar Bobb,47.0,MID,Man City,5,1.0,Bournemouth,1,12,2.8656716417910446,11,1.0,2.0,30.0,294.0,5.0,147.1,105.4,107.0,2.0,112.0,36.0,1.0,0.0,0.0,0.1,44.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14342.333333333334,18686.0,0.0,0.0,0.0,0.0,435.0,326.25,7634.333333333333,5725.75,48.666666666666664,49.0,3.0,3.0,3.0,2.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,3183.9230867315596,0.0,0.0,75.02444046220316,4414.035367124081,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
7,7.0,True,2024-09-22T15:30:00Z,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,33.0,0.3,33.0,6.6,54,-7211.0,166714.0,3738.0,10949.0,John Stones,53.0,DEF,Man City,5,1.0,Bournemouth,1,12,3.2238805970149254,3,1.0,0.0,53.0,1061.0,9.0,128.4,188.4,70.0,3.0,239.0,38.7,5.0,0.0,2.0,3.1,53.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,2.3333333333333335,1.75,0.0,0.0,3.0,2.25,0.3333333333333333,0.25,0.0,0.0,0.5333333333333333,0.4,2.0,1.5,41.0,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186454.0,188633.5,0.6666666666666666,0.5,0.6666666666666666,0.5,6084.0,4563.0,29726.0,22294.5,54.333333333333336,54.5,3.0,3.0,3.0,2.75,1.0,0.75,2.6246692913372702,2.244994432064365,0.5557777333511023,2.8284271247461903,33.891985286593446,13007.614616062394,0.9428090415820634,0.4714045207910317,241.82224876962832,543.8204360509695,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
8,6.0,True,2024-09-22T15:30:00Z,69.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,11.8,68.0,11.0,9.1,55,-21691.0,147368.0,7697.0,29388.0,Mateo Kovačić,56.0,MID,Man City,5,1.0,Bournemouth,1,12,3.283582089552239,8,1.0,0.0,59.0,1539.0,14.0,365.9,265.0,129.0,2.0,316.0,76.0,9.0,0.0,4.0,0.3,46.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.75,15.0,20.25,0.0,0.25,13.100000000000001,11.05,1.0,0.75,0.0,0.25,2.233333333333334,3.425,9.4,20.95,61.333333333333336,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190575.33333333334,147913.25,0.0,2.25,1.0,3.5,71410.33333333333,53557.75,51167.333333333336,38375.5,55.0,55.0,3.0,3.0,3.0,2.75,1.0,0.75,7.2571803523590805,9.23724345606776,1.371941041817112,6.794115100585211,20.33606539022619,41667.88491819036,0.0,0.816496580927726,64684.24463671367,40560.327927120554,0.0,0.0,9.090909090909092,3.0,1.6666666666666667,2.25,1.75,1.5
9,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,-597.0,9502.0,785.0,1382.0,Matheus Luiz Nunes,49.0,MID,Man City,5,1.0,Bournemouth,1,12,2.925373134328358,10,0.0,2.0,32.0,831.0,13.0,221.3,146.0,150.0,1.0,118.0,51.8,2.0,1.0,0.0,0.1,47.0,2.0,2.0,,2024-25,0.3333333333333333,0.25,0.0,0.0,8.0,6.0,0.0,0.0,5.1,3.8249999999999997,0.0,0.0,0.0,0.0,1.5333333333333332,1.15,8.133333333333333,6.1,6.666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5984.0,5340.25,2.0,1.5,2.0,1.5,2512.3333333333335,1884.25,1205.6666666666667,904.25,49.333333333333336,49.5,3.0,3.0,3.0,2.75,1.0,0.75,7.0710678118654755,6.792643079096678,2.0270394394014364,10.658747059992036,8.013876853447538,2941.573388511665,2.8284271247461903,1.4142135623730951,2947.199386234705,559.4797186275438,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
10,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,-359.0,5092.0,357.0,716.0,James McAtee,47.0,MID,Man City,5,1.0,Bournemouth,1,12,2.8656716417910446,11,3.0,4.0,77.0,1815.0,65.0,394.4,333.8,333.0,0.0,259.0,106.0,2.0,0.0,2.0,0.4,44.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.09999999999999999,0.075,0.06666666666666667,0.05,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6195.666666666667,6626.75,0.6666666666666666,0.5,0.3333333333333333,0.25,459.6666666666667,344.75,1711.6666666666667,1283.75,49.333333333333336,49.5,3.0,3.0,3.0,2.75,1.0,0.75,1.4142135623730951,0.4714045207910317,0.1414213562373095,0.09428090415820635,0.4714045207910317,705.4154016527345,0.9428090415820634,0.4714045207910317,233.62410454022552,189.50168571516423,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
11,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,-4020.0,30591.0,0.0,4020.0,João Cavaco Cancelo,53.0,DEF,Man City,5,1.0,Bournemouth,1,12,3.1641791044776117,4,,,,,,,,,,,,,,,,,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53847.0,59582.5,0.0,0.0,0.0,0.0,1551.3333333333333,1163.5,22053.666666666668,16540.25,53.333333333333336,53.75,3.0,3.0,3.0,2.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,17083.820552401816,0.0,0.0,1235.795380401716,4137.195695422471,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
12,1.0,True,2024-09-22T15:30:00Z,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.6,15.5,40.0,7.5,60,-302572.0,2506781.0,18827.0,321399.0,Joško Gvardiol,62.0,DEF,Man City,5,1.0,Bournemouth,1,12,3.582089552238806,0,4.0,2.0,123.0,2327.0,23.0,362.2,544.4,389.0,12.0,549.0,129.7,9.0,0.0,3.0,18.1,52.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.25,11.666666666666666,16.25,0.0,0.25,10.266666666666666,8.525,0.6666666666666666,0.5,0.0,0.0,3.766666666666667,3.625,13.800000000000002,16.150000000000002,74.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3074925.3333333335,3004491.75,13.666666666666666,11.5,1.6666666666666667,3.0,161422.0,121066.5,292442.6666666667,219332.0,60.0,60.0,3.0,3.0,3.0,2.75,1.0,0.75,4.027681991198191,2.9408993333483706,1.7913371790059203,7.273696905059123,20.54263858417414,203080.50166101346,13.767917618708923,0.4714045207910317,73640.89209580956,167800.77279586316,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
13,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,-592.0,11881.0,0.0,592.0,Julián Álvarez,70.0,FWD,Man City,5,1.0,Bournemouth,1,12,4.17910447761194,1,11.0,11.0,158.0,2644.0,24.0,1005.2,737.0,992.0,17.0,662.0,273.3,12.0,0.0,2.0,15.4,64.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15135.333333333334,21110.5,0.0,0.0,0.0,0.0,0.0,0.0,8952.333333333334,6714.25,70.0,70.0,3.0,3.0,3.0,2.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,2586.8032180451783,0.0,0.0,0.0,7907.381965957858,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
14,1.0,True,2024-09-22T15:30:00Z,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.4,14.9,14.0,3.0,93,-52658.0,570824.0,22446.0,75104.0,Phil Foden,93.0,MID,Man City,5,1.0,Bournemouth,1,12,5.552238805970149,1,19.0,8.0,230.0,2860.0,27.0,1157.8,1154.8,1172.0,31.0,866.0,348.8,14.0,0.0,2.0,43.3,85.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.925,0.0,0.0,0.0,0.0,0.0,0.325,0.0,2.25,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040765.0,1176943.25,0.0,0.0,0.0,0.25,39755.666666666664,29816.75,413790.6666666667,310343.0,94.0,94.25,3.0,3.0,3.0,2.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,430619.692297043,0.0,0.0,36993.92294538238,253040.18750300424,0.816496580927726,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
15,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,28.0,21205.0,866.0,838.0,Scott Carson,40.0,GKP,Man City,5,1.0,Bournemouth,1,12,2.388059701492537,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,38.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19448.333333333332,18292.0,0.0,0.0,0.0,0.0,1887.6666666666667,1415.75,1672.0,1254.0,40.0,40.0,3.0,3.0,3.0,2.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,1272.2715468361653,0.0,0.0,463.9010909905496,259.8820245162537,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
16,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,-8442.0,1129358.0,76031.0,84473.0,Rico Lewis,48.0,DEF,Man City,5,1.0,Bournemouth,1,12,2.8059701492537314,7,2.0,0.0,52.0,804.0,9.0,195.9,148.0,114.0,2.0,215.0,45.8,4.0,0.0,1.0,0.4,42.0,2.0,2.0,,2024-25,0.3333333333333333,0.25,0.3333333333333333,0.25,11.333333333333334,14.0,0.0,0.25,12.800000000000002,10.425,1.0,0.75,0.0,0.0,4.266666666666667,3.8499999999999996,18.733333333333334,17.8,75.0,78.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600815.0,460615.25,11.333333333333334,10.5,3.0,3.75,385248.0,288936.0,55615.333333333336,41711.5,46.0,45.75,3.0,3.0,3.0,2.75,1.0,0.75,9.533566430716728,3.265986323710904,1.319932658214889,12.227110133724251,21.213203435596427,406971.98594743595,9.285592184789413,2.160246899469287,260097.89611990328,30781.624392195783,0.816496580927726,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
17,1.0,True,2024-09-22T15:30:00Z,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,23.5,10.0,3.9,64,682.0,23701.0,2679.0,1997.0,Jack Grealish,64.0,MID,Man City,5,1.0,Bournemouth,1,12,3.8208955223880596,6,3.0,1.0,50.0,998.0,13.0,384.1,240.4,295.0,6.0,199.0,91.9,3.0,0.0,6.0,1.5,72.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,10.0,7.5,0.0,0.0,19.3,14.475,0.6666666666666666,0.5,0.0,0.0,4.800000000000001,3.6000000000000005,7.133333333333333,5.35,57.666666666666664,43.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18927.666666666668,18152.0,21.333333333333332,16.0,1.3333333333333333,1.0,2844.0,2133.0,3167.6666666666665,2375.75,64.33333333333333,64.5,3.0,3.0,3.0,2.75,1.0,0.75,7.118052168020874,14.180503047024343,2.491318258807306,4.202644669993196,27.776888874666213,2277.1124014613088,10.208928554075703,0.9428090415820634,2052.0245287682765,560.7140289151166,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
18,0.0,False,2024-09-28T11:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-82.0,701.0,0.0,82.0,Issa Kaboré,45.0,DEF,Man City,5,1.0,Bournemouth,1,12,2.6865671641791047,8,0.0,3.0,34.0,1727.0,39.0,253.0,326.6,62.0,3.0,236.0,64.0,0.0,0.0,7.0,1.9,40.0,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.3333333333334,592.0,0.0,0.0,0.0,0.0,163.66666666666666,122.75,173.66666666666666,130.25,45.0,45.0,2.3333333333333335,2.5,2.3333333333333335,2.75,1.3333333333333333,1.25,0.0,0.0,0.0,0.0,0.0,117.604799599714,0.0,0.0,115.74781015447141,85.5972481385289,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
19,1.0,True,2024-09-22T15:30:00Z,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.2,0.8,0.0,0.4,64,1010.0,198008.0,12439.0,11429.0,Rodrigo 'Rodri' Hernandez,63.0,MID,Man City,5,1.0,Bournemouth,1,12,3.8208955223880596,6,,,,,,,,,,,,,,,,,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,4.333333333333333,3.25,0.0,0.0,5.433333333333334,4.075,0.0,0.0,0.0,0.0,0.7999999999999999,0.6,2.533333333333333,1.9,15.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203289.33333333334,263281.25,0.0,0.0,0.3333333333333333,0.25,7322.0,5491.5,96998.0,72748.5,64.0,64.25,3.0,3.0,3.0,2.75,1.0,0.75,6.128258770283413,7.683893688893817,1.131370849898476,3.5826743580118405,21.213203435596427,23391.095946012352,0.0,0.4714045207910317,8051.2493854473705,80531.15807354733,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
20,0.0,True,2024-09-22T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,-36.0,1298.0,73.0,109.0,Nico O'Reilly,50.0,MID,Man City,5,1.0,Bournemouth,1,12,2.985074626865672,9,,,,,,,,,,,,,,,,,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.6666666666667,966.5,0.0,0.0,0.0,0.0,127.66666666666667,95.75,208.33333333333334,156.25,50.0,50.0,3.0,3.0,3.0,2.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,98.47278247764145,0.0,0.0,49.053259037725745,31.414787742222433,0.0,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
21,1.0,True,2024-09-22T15:30:00Z,77.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.8,54.4,18.0,10.0,53,-26412.0,532829.0,10690.0,37102.0,Kyle Walker,53.0,DEF,Man City,5,1.0,Bournemouth,1,12,3.1641791044776117,4,0.0,5.0,123.0,2766.0,29.0,534.1,465.4,126.0,13.0,633.0,112.6,10.0,0.0,2.0,15.1,55.0,2.0,2.0,,2024-25,0.0,0.0,0.0,0.0,3.6666666666666665,2.75,0.0,0.0,5.866666666666666,4.3999999999999995,0.3333333333333333,0.25,0.0,0.0,0.9666666666666667,0.725,2.8000000000000003,2.1,30.666666666666668,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663344.3333333334,707046.75,1.0,0.75,1.0,0.75,17518.333333333332,13138.75,153213.33333333334,114910.0,54.333333333333336,54.5,3.0,3.0,3.0,2.75,1.0,0.75,3.299831645537222,8.155706931686273,1.2970050972229143,3.4097898273451785,41.96294661828324,112022.83953234219,1.4142135623730951,0.816496580927726,5049.476694558446,48705.54390301877,0.4714045207910317,0.0,0.0,3.0,1.6666666666666667,2.25,1.75,1.5
